word,pos,lemma
feet,NOUN,foot
fell,VERB,fall
felt,VERB,feel
festivities,NOUN,festivity
fisheries,NOUN,fishery
flew,VERB,fly
flies,VERB,fly
flown,VERB,fly
foresaw,VERB,foresee
forgotten,VERB,forget
forgot,VERB,forget
fought,VERB,fight
found,VERB,find
fries,NOUN,fry
frozen,VERB,freeze
galleries,NOUN,gallery
gave,VERB,give
gentlemen,NOUN,gentleman
goes,VERB,go
gone,VERB,go
gotten,VERB,get
got,VERB,get
grandchildren,NOUN,grandchild
grew,VERB,grow
groceries,NOUN,grocery
guaranties,NOUN,guaranty
guardsmen,NOUN,guardsman
gunmen,NOUN,gunman
had,VERB,have
has,VERB,have
held,VERB,hold
her,PRON,she
hickies,NOUN,hicky
hidden,VERB,hide
hid,VERB,hide
hierarchies,NOUN,hierarchy
him,PRON,he
hirier,VERB,hire
his,PRON,he
hostilities,NOUN,hostility
hung,VERB,hang
identifies,VERB,identify
implies,VERB,imply
inches,NOUN,inch
indices,NOUN,index
industries,NOUN,industry
inequities,NOUN,inequity
injuries,NOUN,injury
inquiries,NOUN,inquiry
irregularities,NOUN,irregularity
is,VERB,be
justifies,VERB,justify
kept,VERB,keep
knew,VERB,know
knives,NOUN,knife
ladies,NOUN,lady
laid,VERB,lay
left,VERB,leave
liabilities,NOUN,liability
liberties,NOUN,liberty
lives,NOUN,life
loss,VERB,lose
lost,VERB,lose
made,VERB,make
memories,NOUN,memory
men,NOUN,man
me,PRON,i
mercenaries,NOUN,mercenary
met,VERB,meet
mice,NOUN,mouse
minorities,NOUN,minority
miseries,NOUN,misery
mommies,NOUN,mommy
monarchies,NOUN,monarchy
monies,NOUN,money
municipalities,NOUN,municipality
mysteries,NOUN,mystery
nationalities,NOUN,nationality
necessities,NOUN,necessity
opportunities,NOUN,opportunity
our,PRON,we
overtook,VERB,overtake
paid,VERB,pay
parties,NOUN,party
pastries,NOUN,pastry
patties,NOUN,patty
penalties,NOUN,penalty
philosophies,NOUN,philosophy
phonies,NOUN,phony
policemen,NOUN,policeman
policies,NOUN,policy
possibilities,NOUN,possibility
prepaid,VERB,prepay
primaries,NOUN,primary
priorities,NOUN,priority
properties,NOUN,property
puppies,NOUN,puppy
queries,NOUN,query
ran,VERB,run
realities,NOUN,reality
refineries,NOUN,refinery
remedies,NOUN,remedy
replies,NOUN,reply
replies,VERB,reply
responsibilities,NOUN,responsibility
ridden,VERB,ride
rode,VERB,ride
rose,VERB,rise
said,VERB,say
sat,VERB,sit
saw,VERB,see
secretaries,NOUN,secretary
securities,NOUN,security
sent,VERB,send
shelves,NOUN,shelf
shot,VERB,shoot
signatories,NOUN,signatory
silkies,NOUN,silky
similarities,NOUN,similarity
sixties,NOUN,sixty
skies,NOUN,sky
slept,VERB,sleep
sold,VERB,sell
sought,VERB,seek
spent,VERB,spend
spies,NOUN,spy
spoken,VERB,speak
spoke,VERB,speak
stolen,VERB,steal
stole,VERB,steal
stood,VERB,stand
stories,NOUN,story
strategies,NOUN,strategy
struck,VERB,strike
stuck,VERB,stick
studies,NOUN,study
studies,VERB,study
stunk,VERB,stink
subsidies,NOUN,subsidy
summaries,NOUN,summary
supplies,VERB,supply
swept,VERB,sweep
sworn,VERB,swear
taught,VERB,teach
technologies,NOUN,technology
teeth,NOUN,tooth
tendencies,NOUN,tendency
territories,NOUN,territory
their,PRON,there
their,PRON,they
them,PRON,they
theories,NOUN,theory
therapies,NOUN,therapy
thieves,NOUN,thief
thought,VERB,think
threw,VERB,throw
told,VERB,tell
took,VERB,take
torn,VERB,tear
tributaries,NOUN,tributary
tries,NOUN,try
tries,VERB,try
twinkies,NOUN,twinky
understood,VERB,understand
universities,NOUN,university
us,PRON,we
utilities,NOUN,utility
varieties,NOUN,variety
veggies,NOUN,veggy
verifies,VERB,verify
warranties,NOUN,warranty
was,VERB,be
wearies,VERB,weary
went,VERB,go
were,VERB,be
what,VERB,want
where,VERB,were
withdrew,VERB,withdraw
wives,NOUN,wife
woken,VERB,wake
woke,VERB,wake
wolves,NOUN,wolf
women,NOUN,woman
won,VERB,win
wore,VERB,wear
worn,VERB,wear
worries,NOUN,worry
written,VERB,write
wrote,VERB,write
