,word,pos,lemma
177,patties,NOUN,patty
178,penalties,NOUN,penalty
179,philosophies,NOUN,philosophy
180,phonies,NOUN,phony
181,policemen,NOUN,policeman
182,policies,NOUN,policy
183,possibilities,NOUN,possibility
184,prepaid,VERB,prepay
185,primaries,NOUN,primary
186,priorities,NOUN,priority
187,properties,NOUN,property
188,puppies,NOUN,puppy
189,queries,NOUN,query
190,ran,VERB,run
191,realities,NOUN,reality
192,refineries,NOUN,refinery
193,remedies,NOUN,remedy
194,replies,NOUN,reply
195,replies,VERB,reply
196,responsibilities,NOUN,responsibility
197,ridden,VERB,ride
198,rode,VERB,ride
199,rose,VERB,rise
200,said,VERB,say
201,sat,VERB,sit
202,saw,VERB,see
203,secretaries,NOUN,secretary
204,securities,NOUN,security
205,sent,VERB,send
206,shelves,NOUN,shelf
207,shot,VERB,shoot
208,signatories,NOUN,signatory
209,silkies,NOUN,silky
210,similarities,NOUN,similarity
211,sixties,NOUN,sixty
212,skies,NOUN,sky
213,slept,VERB,sleep
214,sold,VERB,sell
215,sought,VERB,seek
216,spent,VERB,spend
217,spies,NOUN,spy
218,spoken,VERB,speak
219,spoke,VERB,speak
220,stolen,VERB,steal
221,stole,VERB,steal
222,stood,VERB,stand
223,stories,NOUN,story
224,strategies,NOUN,strategy
225,struck,VERB,strike
226,stuck,VERB,stick
227,studies,NOUN,study
228,studies,VERB,study
229,stunk,VERB,stink
230,subsidies,NOUN,subsidy
231,summaries,NOUN,summary
232,supplies,VERB,supply
233,swept,VERB,sweep
234,sworn,VERB,swear
235,taught,VERB,teach
236,technologies,NOUN,technology
237,teeth,NOUN,tooth
238,tendencies,NOUN,tendency
239,territories,NOUN,territory
240,their,PRON,there
241,their,PRON,they
242,them,PRON,they
243,theories,NOUN,theory
244,therapies,NOUN,therapy
245,thieves,NOUN,thief
246,thought,VERB,think
247,threw,VERB,throw
248,told,VERB,tell
249,took,VERB,take
250,torn,VERB,tear
251,tributaries,NOUN,tributary
252,tries,NOUN,try
253,tries,VERB,try
254,twinkies,NOUN,twinky
255,understood,VERB,understand
256,universities,NOUN,university
257,us,PRON,we
258,utilities,NOUN,utility
259,varieties,NOUN,variety
260,veggies,NOUN,veggy
261,verifies,VERB,verify
262,warranties,NOUN,warranty
263,was,VERB,be
264,wearies,VERB,weary
265,went,VERB,go
266,were,VERB,be
267,what,VERB,want
268,where,VERB,were
269,withdrew,VERB,withdraw
270,wives,NOUN,wife
271,woken,VERB,wake
272,woke,VERB,wake
273,wolves,NOUN,wolf
274,women,NOUN,woman
275,won,VERB,win
276,wore,VERB,wear
277,worn,VERB,wear
278,worries,NOUN,worry
279,written,VERB,write
280,wrote,VERB,write
