tense,polarity,foreign,person,voice,verbform,definite,reflex,number,mood,word,prontype,case,degree,pos,numtype,gender
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,part,_UNSP,_UNSP,sing,_UNSP,ronda,_UNSP,_UNSP,_UNSP,VERB,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,ellus,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,anne,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,felipe,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,distrital,_UNSP,_UNSP,_UNSP,NOUN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,balança,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,pass,part,_UNSP,_UNSP,plur,_UNSP,considerados,_UNSP,_UNSP,_UNSP,VERB,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,part,_UNSP,_UNSP,sing,_UNSP,processado,_UNSP,_UNSP,_UNSP,VERB,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,interfinanceiro,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,cão,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,guitarrista,_UNSP,_UNSP,_UNSP,NOUN,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,légende,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,cutler,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,araras,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,kaprow,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,garantido,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,mayor,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,faraday,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,part,_UNSP,_UNSP,sing,_UNSP,pesquisado,_UNSP,_UNSP,_UNSP,VERB,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,recorde,_UNSP,_UNSP,_UNSP,ADJ,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,rainha,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,"gravador,",_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,sensacional,_UNSP,_UNSP,_UNSP,ADJ,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,luna,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,globo,_UNSP,_UNSP,_UNSP,NOUN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,pass,part,_UNSP,_UNSP,sing,_UNSP,alheada,_UNSP,_UNSP,_UNSP,VERB,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,paços,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,clippers,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,nono,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,pass,part,_UNSP,_UNSP,plur,_UNSP,superlotadas,_UNSP,_UNSP,_UNSP,VERB,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,cuja,art,_UNSP,_UNSP,DET,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,part,_UNSP,_UNSP,sing,_UNSP,comunicado,_UNSP,_UNSP,_UNSP,VERB,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,nicholas,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,_UNSP
pres,_UNSP,_UNSP,3,_UNSP,fin,_UNSP,_UNSP,sing,ind,cometa,_UNSP,_UNSP,_UNSP,VERB,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,ferreira,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,plur,_UNSP,todas,ind,_UNSP,_UNSP,DET,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,carne,_UNSP,_UNSP,_UNSP,NOUN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,reinaldo,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,part,_UNSP,_UNSP,sing,_UNSP,relata,_UNSP,_UNSP,_UNSP,VERB,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,fangio,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,pass,part,_UNSP,_UNSP,plur,_UNSP,lançadas,_UNSP,_UNSP,_UNSP,VERB,_UNSP,fem
pres,_UNSP,_UNSP,3,_UNSP,fin,_UNSP,_UNSP,plur,ind,dirijam,_UNSP,_UNSP,_UNSP,VERB,_UNSP,_UNSP
pqp,_UNSP,_UNSP,3,_UNSP,fin,_UNSP,_UNSP,sing,ind,quisera,_UNSP,_UNSP,_UNSP,VERB,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,pass,part,_UNSP,_UNSP,plur,_UNSP,lesionados,_UNSP,_UNSP,_UNSP,VERB,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,plur,_UNSP,visitantes,_UNSP,_UNSP,_UNSP,NOUN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,fiscal,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,geografia,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,part,_UNSP,_UNSP,sing,_UNSP,pago,_UNSP,_UNSP,_UNSP,VERB,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,rattle,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,plur,_UNSP,margens,_UNSP,_UNSP,_UNSP,NOUN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,plur,_UNSP,portuenses,_UNSP,_UNSP,_UNSP,ADJ,_UNSP,fem
pres,_UNSP,_UNSP,3,_UNSP,fin,_UNSP,_UNSP,sing,ind,disponha,_UNSP,_UNSP,_UNSP,VERB,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,spin,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,guitry,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,la,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,plur,_UNSP,permanentes,_UNSP,_UNSP,_UNSP,ADJ,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,plur,_UNSP,marginais,_UNSP,_UNSP,_UNSP,NOUN,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,pass,part,_UNSP,_UNSP,plur,_UNSP,delineados,_UNSP,_UNSP,_UNSP,VERB,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,social-democrata,_UNSP,_UNSP,_UNSP,NOUN,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,pass,part,_UNSP,_UNSP,plur,_UNSP,vendidos,_UNSP,_UNSP,_UNSP,VERB,_UNSP,masc
pres,_UNSP,_UNSP,3,_UNSP,fin,_UNSP,_UNSP,sing,ind,existia,_UNSP,_UNSP,_UNSP,VERB,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,fin,_UNSP,_UNSP,sing,ind,está,_UNSP,_UNSP,_UNSP,VERB,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,part,_UNSP,_UNSP,plur,_UNSP,pagos,_UNSP,_UNSP,_UNSP,VERB,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,part,_UNSP,_UNSP,sing,_UNSP,chegado,_UNSP,_UNSP,_UNSP,VERB,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,irresistível,_UNSP,_UNSP,_UNSP,ADJ,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,pass,part,_UNSP,_UNSP,plur,_UNSP,alcançados,_UNSP,_UNSP,_UNSP,VERB,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,coleccionismo,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,lazio,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,enorme,_UNSP,_UNSP,_UNSP,ADJ,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,pass,part,_UNSP,_UNSP,sing,_UNSP,apertada,_UNSP,_UNSP,_UNSP,VERB,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,-me,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,hirano,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,3,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,a,prs,acc,_UNSP,PRON,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,campeonatos,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,reneberg,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,terfei,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,pass,part,_UNSP,_UNSP,plur,_UNSP,especializadas,_UNSP,_UNSP,_UNSP,VERB,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,boutiques,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,walikale,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,part,_UNSP,_UNSP,sing,_UNSP,reeleito,_UNSP,_UNSP,_UNSP,VERB,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,plur,_UNSP,cirurgiões,_UNSP,_UNSP,_UNSP,NOUN,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,part,_UNSP,_UNSP,sing,_UNSP,procurado,_UNSP,_UNSP,_UNSP,VERB,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,janete,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,1,_UNSP,fin,_UNSP,_UNSP,plur,ind,digamos,_UNSP,_UNSP,_UNSP,VERB,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,powell,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,estação,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,editorial,_UNSP,_UNSP,_UNSP,ADJ,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,juntao,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
pres,_UNSP,_UNSP,_UNSP,_UNSP,fin,_UNSP,_UNSP,sing,ind,volta,_UNSP,_UNSP,_UNSP,VERB,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,part,_UNSP,_UNSP,sing,_UNSP,acusado,_UNSP,_UNSP,_UNSP,VERB,_UNSP,masc
_UNSP,_UNSP,_UNSP,3,_UNSP,fin,_UNSP,_UNSP,plur,ind,surgiram,_UNSP,_UNSP,_UNSP,VERB,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,esta,prs,_UNSP,_UNSP,DET,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,parnaíba,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,construções,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,plur,_UNSP,assentes,_UNSP,_UNSP,_UNSP,ADJ,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,pró-natalista,_UNSP,_UNSP,_UNSP,ADJ,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,araújo,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,variante,_UNSP,_UNSP,_UNSP,NOUN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,fase,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,diemen,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,quem,rel,_UNSP,_UNSP,PRON,_UNSP,masc
_UNSP,_UNSP,_UNSP,3,_UNSP,fin,_UNSP,_UNSP,plur,ind,honraram,_UNSP,_UNSP,_UNSP,VERB,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,populacional,_UNSP,_UNSP,_UNSP,ADJ,_UNSP,fem
pres,_UNSP,_UNSP,3,_UNSP,fin,_UNSP,_UNSP,plur,ind,cometam,_UNSP,_UNSP,_UNSP,VERB,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,carvalho,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,plur,_UNSP,surpreendentes,_UNSP,_UNSP,_UNSP,ADJ,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,plur,_UNSP,particulares,_UNSP,_UNSP,_UNSP,ADJ,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,derrube,_UNSP,_UNSP,_UNSP,NOUN,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,monstro,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,plur,_UNSP,diagramas,_UNSP,_UNSP,_UNSP,NOUN,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,united,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,livre,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,3,_UNSP,fin,_UNSP,_UNSP,plur,ind,separaram,_UNSP,_UNSP,_UNSP,VERB,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,part,_UNSP,_UNSP,sing,_UNSP,habitado,_UNSP,_UNSP,_UNSP,VERB,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,pass,part,_UNSP,_UNSP,plur,_UNSP,emitidas,_UNSP,_UNSP,_UNSP,VERB,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,plur,_UNSP,desagradáveis,_UNSP,_UNSP,_UNSP,NOUN,_UNSP,masc
pres,_UNSP,_UNSP,3,_UNSP,fin,_UNSP,_UNSP,plur,ind,iam,_UNSP,_UNSP,_UNSP,AUX,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,pina,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,euclides,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,schwarz,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,plur,_UNSP,os,prs,acc,_UNSP,PRON,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,homem,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
pres,_UNSP,_UNSP,3,_UNSP,fin,_UNSP,_UNSP,sing,ind,tive,_UNSP,_UNSP,_UNSP,VERB,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,fafe,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,saraiva,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,pass,part,_UNSP,_UNSP,plur,_UNSP,avultados,_UNSP,_UNSP,_UNSP,VERB,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,ruim,_UNSP,_UNSP,_UNSP,ADJ,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,melo,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
pres,_UNSP,_UNSP,3,_UNSP,fin,_UNSP,_UNSP,sing,ind,fique,_UNSP,_UNSP,_UNSP,VERB,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,siqueira,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,fem
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,quanto,ind,_UNSP,_UNSP,DET,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,wide,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,armanda,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,fem
_UNSP,_UNSP,_UNSP,3,_UNSP,fin,_UNSP,_UNSP,sing,ind,barra,_UNSP,_UNSP,_UNSP,VERB,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,3,_UNSP,fin,_UNSP,_UNSP,sing,ind,adoraria,_UNSP,_UNSP,_UNSP,VERB,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,internet,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,araxá,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,pass,part,_UNSP,_UNSP,plur,_UNSP,mergulhados,_UNSP,_UNSP,_UNSP,VERB,_UNSP,masc
